trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
212,14:07:00,14:07:00,19,3,,0,0,1
212,14:15:00,14:15:00,8,4,,0,0,1
212,14:27:00,14:27:00,20,5,,0,0,1
212,14:31:00,14:31:00,87,6,,0,0,1
213,14:13:00,14:13:00,4,1,,0,0,1
213,14:20:00,14:20:00,17,2,,0,0,1
213,14:32:00,14:32:00,19,3,,0,0,1
213,14:40:00,14:40:00,8,4,,0,0,1
213,14:52:00,14:52:00,20,5,,0,0,1
213,14:56:00,14:56:00,87,6,,0,0,1
214,14:38:00,14:38:00,4,1,,0,0,1
214,14:45:00,14:45:00,17,2,,0,0,1
214,14:57:00,14:57:00,19,3,,0,0,1
214,15:05:00,15:05:00,8,4,,0,0,1
214,15:17:00,15:17:00,20,5,,0,0,1
214,15:21:00,15:21:00,87,6,,0,0,1
216,10:34:00,10:34:00,87,1,,0,0,1
216,10:42:00,10:42:00,111,2,,0,0,1
217,11:04:00,11:04:00,87,1,,0,0,1
217,11:12:00,11:12:00,111,2,,0,0,1
218,15:03:00,15:03:00,4,1,,0,0,1
218,15:10:00,15:10:00,17,2,,0,0,1
218,15:22:00,15:22:00,19,3,,0,0,1
218,15:30:00,15:30:00,8,4,,0,0,1
218,15:42:00,15:42:00,20,5,,0,0,1
218,15:46:00,15:46:00,87,6,,0,0,1
219,11:34:00,11:34:00,87,1,,0,0,1
219,11:42:00,11:42:00,111,2,,0,0,1
224,15:28:00,15:28:00,4,1,,0,0,1
224,15:35:00,15:35:00,17,2,,0,0,1
224,15:47:00,15:47:00,19,3,,0,0,1
224,15:55:00,15:55:00,8,4,,0,0,1
224,16:07:00,16:07:00,20,5,,0,0,1
224,16:11:00,16:11:00,87,6,,0,0,1
225,15:53:00,15:53:00,4,1,,0,0,1
225,16:00:00,16:00:00,17,2,,0,0,1
225,16:12:00,16:12:00,19,3,,0,0,1
225,16:20:00,16:20:00,8,4,,0,0,1
225,16:32:00,16:32:00,20,5,,0,0,1
225,16:36:00,16:36:00,87,6,,0,0,1
226,16:18:00,16:18:00,4,1,,0,0,1
226,16:25:00,16:25:00,17,2,,0,0,1
226,16:37:00,16:37:00,19,3,,0,0,1
226,16:45:00,16:45:00,8,4,,0,0,1
226,16:57:00,16:57:00,20,5,,0,0,1
226,17:01:00,17:01:00,87,6,,0,0,1
227,16:43:00,16:43:00,4,1,,0,0,1
227,16:50:00,16:50:00,17,2,,0,0,1
227,17:02:00,17:02:00,19,3,,0,0,1
227,17:10:00,17:10:00,8,4,,0,0,1
227,17:22:00,17:22:00,20,5,,0,0,1
227,17:26:00,17:26:00,87,6,,0,0,1
228,17:08:00,17:08:00,4,1,,0,0,1
228,17:15:00,17:15:00,17,2,,0,0,1
228,17:27:00,17:27:00,19,3,,0,0,1
228,17:35:00,17:35:00,8,4,,0,0,1
228,17:47:00,17:47:00,20,5,,0,0,1
228,17:51:00,17:51:00,87,6,,0,0,1
229,17:33:00,17:33:00,4,1,,0,0,1
229,17:40:00,17:40:00,17,2,,0,0,1
229,17:52:00,17:52:00,19,3,,0,0,1
