route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"AS",1,2072,"East 90th St",4303,1,43,107
"AS",1,2073,"East 90th St",4104,1,41,107
"AS",1,2074,"East 90th St",4204,1,42,107
"AS",1,2075,"East 90th St",4305,1,43,107
"AS",1,2076,"East 90th St",4206,1,42,107
"AS",1,2077,"East 90th St",4307,1,43,107
"AS",1,2078,"East 90th St",4208,1,42,107
"AS",1,2079,"East 90th St",4309,1,43,107
"AS",1,2080,"East 90th St",4210,1,42,107
"AS",1,2081,"East 90th St",4311,1,43,107
"AS",1,2082,"East 90th St",4106,1,41,107
"AS",1,2083,"East 90th St",4212,1,42,107
"AS",1,2084,"East 90th St",4313,1,43,107
"AS",1,2085,"East 90th St",4108,1,41,107
"AS",1,2092,"East 90th St",4214,1,42,107
"AS",1,2093,"East 90th St",4315,1,43,107
"AS",1,2094,"Wall St./Pier 11",4101,0,41,108
"AS",1,2095,"Wall St./Pier 11",4201,0,42,108
"AS",1,2096,"Wall St./Pier 11",4302,0,43,108
"AS",1,2097,"Wall St./Pier 11",4103,0,41,108
"AS",1,2098,"Wall St./Pier 11",4203,0,42,108
"AS",1,2099,"Wall St./Pier 11",4304,0,43,108
"AS",1,2100,"Wall St./Pier 11",4105,0,41,108
"AS",1,2101,"Wall St./Pier 11",4205,0,42,108
"AS",1,2102,"Wall St./Pier 11",4306,0,43,108
"AS",1,2103,"Wall St./Pier 11",4207,0,42,108
"AS",1,2104,"Wall St./Pier 11",4308,0,43,108
"AS",1,2105,"Wall St./Pier 11",4209,0,42,108
"AS",1,2106,"Wall St./Pier 11",4310,0,43,108
"AS",1,2107,"Wall St./Pier 11",4211,0,42,108
"AS",1,2108,"Wall St./Pier 11",4312,0,43,108
"AS",1,2109,"Wall St./Pier 11",4107,0,41,108
"AS",1,2110,"Wall St./Pier 11",4213,0,42,108
"AS",1,2111,"Wall St./Pier 11",4314,0,43,108
"AS",1,2112,"Wall St./Pier 11",4109,0,41,108
"AS",1,2113,"Wall St./Pier 11",4215,0,42,108
"AS",2,2114,"East 90th St",4201,1,42,107
"AS",2,2115,"East 90th St",4102,1,41,107
"AS",2,2116,"East 90th St",4203,1,42,107
"AS",2,2117,"East 90th St",4104,1,41,107
"AS",2,2118,"East 90th St",4205,1,42,107
"AS",2,2119,"East 90th St",4106,1,41,107
"AS",2,2120,"East 90th St",4207,1,42,107
"AS",2,2121,"East 90th St",4108,1,41,107
"AS",2,2122,"East 90th St",4209,1,42,107
"AS",2,2123,"East 90th St",4110,1,41,107
"AS",2,2124,"East 90th St",4211,1,42,107
"AS",2,2125,"East 90th St",4112,1,41,107
"AS",2,2126,"Wall St./Pier 11",4101,0,41,108
"AS",2,2127,"Wall St./Pier 11",4202,0,42,108
"AS",2,2128,"Wall St./Pier 11",4103,0,41,108
"AS",2,2129,"Wall St./Pier 11",4204,0,42,108
"AS",2,2130,"Wall St./Pier 11",4105,0,41,108
"AS",2,2131,"Wall St./Pier 11",4206,0,42,108
"AS",2,2132,"Wall St./Pier 11",4107,0,41,108
"AS",2,2133,"Wall St./Pier 11",4208,0,42,108
"AS",2,2134,"Wall St./Pier 11",4109,0,41,108
"AS",2,2135,"Wall St./Pier 11",4210,0,42,108
"AS",2,2136,"Wall St./Pier 11",4111,0,41,108
"AS",2,2137,"Wall St./Pier 11",4212,0,42,108
"SV",1,2138,"Ferry Point Park",6301,1,63,15
"SV",1,2139,"Ferry Point Park",6102,1,61,15
"SV",1,2140,"Ferry Point Park",6202,1,62,15
"SV",1,2141,"Ferry Point Park",6303,1,63,15
"SV",1,2142,"Ferry Point Park",6104,1,61,15
"SV",1,2143,"Ferry Point Park",6204,1,62,15
"SV",1,2144,"Ferry Point Park",6305,1,63,15
